Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
0.1403,14,Black,Yes,13,1
0.2389,14,Black,No,.,.
4.0758,14,White,No,.,.
4.0758,14,White,No,.,.
0.2389,14,Black,Yes,13,3
2.9542,14,White,No,.,.
2.9542,14,White,No,.,.
2.9542,14,White,No,.,.
7.8431,14,White,No,.,.
4.0758,14,White,No,.,.
2.9542,14,White,No,.,.
1.9704,14,White,Yes,14,1
1.9704,14,White,Yes,13,1
0.8019,14,White,No,.,.
0.8019,14,White,No,.,.
0.8019,14,White,No,.,.
2.0875,14,Black,No,.,.
2.0875,14,Black,No,.,.
2.2602,14,White,Yes,14,2
2.2602,14,White,No,.,.
0.2204,14,White,No,.,.
0.2204,14,White,Yes,12,3
0.2204,14,White,No,.,.
0.2204,14,White,No,.,.
1.0492,14,White,No,.,.
1.0492,14,White,No,.,.
1.0492,14,White,No,.,.
1.0492,14,White,No,.,.
1.6808,14,White,No,.,.
0.4031,14,White,No,.,.
2.0128,14,Hispanic,No,.,.
0.3813,14,Hispanic,No,.,.
0.2485,14,Other,No,.,.
0.2485,14,.,No,.,.
2.7131,14,Hispanic,No,.,.
2.8685,14,White,No,.,.
2.8685,14,White,No,.,.
2.8685,14,White,No,.,.
0.6743,14,Black,Yes,11,4
0.6905,14,Hispanic,No,.,.
0.6743,14,Black,Yes,14,1
2.0765,14,White,No,.,.
2.0765,14,White,No,.,.
2.0765,14,White,No,.,.
0.2391,14,Other,Yes,14,1
0.9498,14,White,Yes,14,1
1.8915,14,White,No,.,.
0.9327,14,White,Yes,13,2
0.9327,14,White,No,.,.
0.9327,14,White,No,.,.
0.9327,14,White,No,.,.
0.9004,14,White,No,.,.
0.8316,14,Black,No,.,.
1.3279,14,Black,No,.,.
0.8316,14,Black,Yes,13,2
1.3279,14,Black,Yes,14,1
1.1655,14,White,Yes,14,1
1.1655,14,White,No,.,.
1.1655,14,White,No,.,.
2.0369,14,White,No,.,.
2.0369,14,White,Yes,14,2
1.6897,14,White,No,.,.
1.3545,14,White,No,.,.
1.6897,14,White,No,.,.
1.251,14,Black,No,.,.
1.6897,14,White,No,.,.
1.6897,14,White,No,.,.
1.3545,14,White,No,.,.
0.3628,14,Black,No,.,.
0.3813,14,Hispanic,No,.,.
0.3813,14,Hispanic,No,.,.
0.9522,14,Other,Yes,14,3
0.8043,14,White,No,.,.
1.1607,14,Black,Yes,13,3
0.3813,14,Hispanic,No,.,.
0.169,14,Black,Yes,13,1
0.169,14,Black,No,.,.
0.169,14,Black,Yes,14,3
2.7673,14,White,No,.,.
1.5206,14,White,No,.,.
2.8685,14,White,No,.,.
2.8685,14,White,No,.,.
2.8685,14,White,No,.,.
2.8685,14,White,No,.,.
0.6142,14,Black,No,.,.
1.5206,14,White,No,.,.
0.6289,14,Hispanic,No,.,.
0.6289,14,Hispanic,Yes,13,2
1.9928,14,White,No,.,.
1.4045,14,Black,Yes,13,4
1.9928,14,White,Yes,14,1
1.8848,14,Hispanic,No,.,.
1.9928,14,.,No,.,.
1.4045,14,Black,Yes,13,1
1.9928,14,White,No,.,.
0.6289,14,Hispanic,Yes,14,3
1.1747,14,White,No,.,.
1.1747,14,White,No,.,.
1.5033,14,White,.,.,.
1.5033,14,White,No,.,.
1.5033,14,White,No,.,.
0.3813,14,Hispanic,No,.,.
0.637,14,White,No,.,.
0.5883,14,Black,No,.,.
2.125,14,Hispanic,No,.,.
2.125,14,Hispanic,No,.,.
1.5023,14,White,No,.,.
2.2467,14,White,No,.,.
0.6936,14,White,Yes,12,3
0.6406,14,Black,.,.,.
0.6406,14,Black,No,.,.
0.1733,14,Hispanic,No,.,.
0.3203,14,White,No,.,.
0.3203,14,White,No,.,.
0.3203,14,White,No,.,.
0.3813,14,Hispanic,No,.,.
0.1733,14,Hispanic,No,.,.
0.3203,14,White,No,.,.
0.7131,14,White,No,.,.
0.9661,14,Hispanic,No,.,.
0.9661,14,Hispanic,Yes,14,1
0.1871,14,Hispanic,.,.,.
0.0971,14,Hispanic,No,.,.
0.2341,14,Hispanic,No,.,.
0.2475,14,White,No,.,.
0.2341,14,Hispanic,No,.,.
0.1871,14,Hispanic,No,.,.
0.2341,14,Hispanic,No,.,.
0.1871,14,Hispanic,No,.,.
0.386,14,Other,No,.,.
0.1978,14,White,No,.,.
0.1871,14,Hispanic,No,.,.
0.2341,14,Hispanic,No,.,.
0.2341,14,Hispanic,No,.,.
0.2341,14,Hispanic,No,.,.
3.056,14,White,No,.,.
0.7131,14,White,No,.,.
2.0369,14,White,No,.,.
1.7784,14,White,No,.,.
1.7784,14,White,No,.,.
1.7784,14,White,No,.,.
1.883,14,Black,No,.,.
0.0414,14,Other,No,.,.
0.0971,14,Hispanic,Yes,13,1
0.0971,14,Hispanic,Yes,11,1
0.386,14,Other,No,.,.
0.2622,14,Hispanic,No,.,.
0.2622,14,Hispanic,No,.,.
0.2622,14,Hispanic,No,.,.
1.3046,14,Black,No,.,.
0.2622,14,Hispanic,No,.,.
0.386,14,Other,No,.,.
0.2622,14,Hispanic,No,.,.
1.3412,14,White,No,.,.
1.2685,14,Hispanic,No,.,.
0.386,14,Hispanic,No,.,.
2.0369,14,White,No,.,.
2.0369,14,White,No,.,.
1.5878,14,Other,No,.,.
1.5878,14,Other,No,.,.
1.5828,14,Black,No,.,.
0.7131,14,White,No,.,.
1.6208,15,Hispanic,No,.,.
1.5828,15,Black,Yes,11,6
1.6208,15,Hispanic,No,.,.
1.4413,15,Black,Yes,11,2
1.4413,15,Black,No,.,.
1.5351,15,White,No,.,.
1.5351,15,White,No,.,.
1.5351,15,White,No,.,.
2.6051,15,White,Yes,14,4
2.4061,15,Black,No,.,.
2.4061,15,Black,No,.,.
2.6051,15,White,No,.,.
2.6781,15,Black,No,.,.
1.3975,15,White,Yes,14,1
1.3975,15,White,Yes,13,1
1.3975,15,White,No,.,.
1.3975,15,White,No,.,.
0.4074,15,Other,No,.,.
1.6182,15,White,No,.,.
1.6182,15,White,Yes,13,6
1.4946,15,Other,No,.,.
1.6182,15,White,No,.,.
1.6182,15,White,No,.,.
0.6503,15,Other,Yes,14,1
0.6503,15,Other,No,.,.
0.5435,15,Other,Yes,11,1
0.5435,15,Other,No,.,.
1.6561,15,White,.,.,.
1.6561,15,White,No,.,.
1.6561,15,White,No,.,.
1.6561,15,White,No,.,.
1.6561,15,White,Yes,13,6
1.6561,15,Other,No,.,.
1.7281,15,White,No,.,.
1.7281,15,White,No,.,.
1.7281,15,White,No,.,.
1.7281,15,White,No,.,.
1.7281,15,White,No,.,.
2.099,15,Hispanic,No,.,.
2.2193,15,White,No,.,.
2.2193,15,White,No,.,.
1.9759,15,White,Yes,14,1
1.9759,15,White,Yes,14,4
2.6274,15,Other,No,.,.
2.0498,15,Other,No,.,.
0.0887,15,White,No,.,.
0.0887,15,White,No,.,.
1.4126,15,Black,No,.,.
1.8813,15,Black,Yes,14,3
1.8813,15,Black,No,.,.
1.8813,15,Black,Yes,14,.
1.5045,15,White,Yes,15,1
1.5045,15,White,No,.,.
0.4285,15,Black,No,.,.
0.4285,15,Black,Yes,14,2
0.4285,15,Black,No,.,.
0.4285,15,Black,No,.,.
0.6767,15,Black,No,.,.
0.7327,15,White,No,.,.
0.6767,15,Black,Yes,14,3
0.693,15,Hispanic,No,.,.
0.6767,15,Black,No,.,.
0.7043,15,Other,No,.,.
0.7501,15,White,No,.,.
0.7501,15,White,No,.,.
